190,189,127
194,176,120
198,166,100
229,190,1
205,164,52
169,131,7
228,160,16
220,157,0
138,102,66
199,180,70
238,234,205
225,204,79
230,214,144
237,255,33
245,208,51
248,243,43
158,151,100
153,153,80
243,218,11
250,210,1
174,160,75
255,255,0
157,145,1
244,169,0
214,174,1
243,165,5
239,169,74
106,93,77
112,83,53
243,159,24
237,118,14
201,60,32
203,40,33
255,117,20
244,70,17
255,35,1
255,164,32
247,94,37
245,64,33
216,75,32
236,124,38
229,81,55
195,88,49
175,43,30
165,32,25
162,35,29
155,17,30
117,21,30
94,33,41
53,31,33
100,36,36
120,31,25
193,135,107
161,35,18
211,110,112
234,137,154
179,40,33
230,50,68
213,48,50
204,6,5
217,80,48
248,0,0
254,0,0
197,29,52
203,50,52
179,36,40
114,20,34
180,76,67
109,63,91
146,43,62
222,76,138
110,28,52
108,70,117
160,52,114
74,25,44
146,78,125
164,125,144
215,45,109
134,115,161
108,104,129
42,46,75
31,52,56
32,33,79
29,30,51
24,23,28
30,45,110
62,95,138
38,37,45
2,86,105
14,41,75
35,26,36
59,131,189
30,33,61
96,110,140
34,113,179
6,57,113
63,136,143
27,85,131
29,51,74
37,109,123
37,40,80
73,103,141
93,155,155
42,100,120
16,44,84
49,102,80
40,114,51
45,87,44
66,70,50
31,58,61
47,69,56
62,59,50
52,59,41
57,53,42
49,55,43
53,104,45
88,114,70
52,62,64
108,113,86
71,64,46
59,60,54
30,89,69
76,145,65
87,166,57
189,236,182
46,58,35
137,172,118
37,34,27
48,132,70
61,100,45
1,93,82
132,195,190
44,85,69
32,96,61
49,127,67
73,126,118
127,181,181
28,84,45
25,55,55
0,143,57
0,187,45
120,133,139
138,149,151
126,123,82
108,112,89
150,153,146
100,107,99
109,101,82
106,95,49
77,86,69
76,81,74
67,75,77
78,87,84
70,69,49
67,71,80
41,49,51
35,40,43
51,47,44
104,108,94
71,74,81
47,53,59
139,140,122
71,75,78
184,183,153
125,132,113
143,139,102
215,215,215
127,118,121
125,127,125
195,195,195
108,105,96
157,161,170
141,148,141
78,84,82
202,196,176
144,144,144
130,137,143
208,208,208
137,129,118
130,108,52
149,95,32
108,59,42
115,66,34
142,64,42
89,53,31
111,79,40
91,58,41
89,35,33
56,44,30
99,58,52
76,47,39
69,50,46
64,58,58
33,33,33
166,94,46
121,85,61
117,92,72
78,59,49
118,60,40
250,244,227
231,235,218
244,244,244
40,40,40
10,10,10
165,165,165
143,143,143
255,255,255
28,28,28
246,246,246
30,30,29
215,215,215
156,156,156
130,130,130
